Channel Group,Source,Domain,Date,Funnel,Campaign,Result type,Cost,Result,Result Rate,Cost per Result,Impressions,Clicks,CTR,Reach,Views,ThruPlays,Engagements,Engagement Rate,CPC,CPM,View Rate,CPV,CPE
 Paid Search , google , BIODERMA ,Feb-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 38,104,9.10%,€ 0.37,"1,143",104,9.10%,"1,143",0,0,0,0.00%,€ 0.37,€ 33.37,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Feb-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 10,18,1.00%,€ 0.56,"1,847",18,1.00%,"1,656","1,889",26,70,3.80%,€ 0.56,€ 5.48,1.40%,€ 0.01,€ 0.14
 Paid Search , google , BIODERMA ,Feb-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 47,118,8.50%,€ 0.40,"1,384",118,8.50%,"1,384",0,0,0,0.00%,€ 0.40,€ 33.80,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Feb-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 9,18,1.20%,€ 0.51,"1,537",18,1.20%,"1,355","1,610",36,76,4.90%,€ 0.51,€ 5.95,2.20%,€ 0.01,€ 0.12
 Paid Search , google , BIODERMA ,Feb-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 62,144,8.00%,€ 0.43,"1,801",144,8.00%,"1,801",0,0,0,0.00%,€ 0.43,€ 34.59,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Feb-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 10,26,1.70%,€ 0.38,"1,534",26,1.70%,"1,398","1,594",27,79,5.10%,€ 0.38,€ 6.44,1.70%,€ 0.01,€ 0.13
 Paid Search , google , BIODERMA ,Feb-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 105,220,11.40%,€ 0.48,"1,937",220,11.40%,"1,937",0,0,0,0.00%,€ 0.48,€ 54.26,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Feb-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 10,26,1.80%,€ 0.37,"1,460",26,1.80%,"1,341","1,515",42,93,6.40%,€ 0.37,€ 6.66,2.80%,€ 0.01,€ 0.10
 Paid Search , google , BIODERMA ,Feb-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 105,189,8.70%,€ 0.56,"2,168",189,8.70%,"2,168",0,0,0,0.00%,€ 0.56,€ 48.65,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Feb-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 10,20,1.20%,€ 0.50,"1,688",20,1.20%,"1,578","1,758",46,105,6.20%,€ 0.50,€ 5.96,2.60%,€ 0.01,€ 0.10
 Paid Search , google , BIODERMA ,Feb-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 120,192,9.10%,€ 0.63,"2,107",192,9.10%,"2,107",0,0,0,0.00%,€ 0.63,€ 57.03,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Feb-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 12,37,1.90%,€ 0.32,"1,921",37,1.90%,"1,782","1,992",35,102,5.30%,€ 0.32,€ 6.16,1.80%,€ 0.01,€ 0.12
 Paid Search , google , BIODERMA ,Feb-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 88,160,8.50%,€ 0.55,"1,875",160,8.50%,"1,875",0,0,0,0.00%,€ 0.55,€ 46.97,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Feb-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 9,23,1.60%,€ 0.40,"1,478",23,1.60%,"1,288","1,519",29,75,5.10%,€ 0.40,€ 6.20,1.90%,€ 0.01,€ 0.12
 Paid Search , google , BIODERMA ,Feb-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 80,160,7.60%,€ 0.50,"2,096",160,7.60%,"2,096",0,0,0,0.00%,€ 0.50,€ 38.16,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Feb-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 10,14,1.10%,€ 0.69,"1,323",14,1.10%,"1,248","1,370",24,54,4.10%,€ 0.69,€ 7.27,1.80%,€ 0.01,€ 0.18
 Paid Search , google , BIODERMA ,Feb-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 82,148,7.10%,€ 0.55,"2,073",148,7.10%,"2,073",0,0,0,0.00%,€ 0.55,€ 39.61,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Feb-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 9,21,1.60%,€ 0.44,"1,336",21,1.60%,"1,174","1,367",21,58,4.30%,€ 0.44,€ 6.94,1.50%,€ 0.01,€ 0.16
 Paid Search , google , BIODERMA ,Feb-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 103,186,10.60%,€ 0.55,"1,749",186,10.60%,"1,749",0,0,0,0.00%,€ 0.55,€ 58.83,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Feb-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 10,9,0.60%,€ 1.08,"1,457",9,0.60%,"1,288","1,500",32,55,3.80%,€ 1.08,€ 6.68,2.10%,€ 0.01,€ 0.18
 Paid Search , google , BIODERMA ,Feb-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 103,169,8.60%,€ 0.61,"1,969",169,8.60%,"1,969",0,0,0,0.00%,€ 0.61,€ 52.46,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Feb-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 11,27,1.70%,€ 0.39,"1,631",27,1.70%,"1,436","1,718",52,116,7.10%,€ 0.39,€ 6.53,3.00%,€ 0.01,€ 0.09
 Paid Search , google , BIODERMA ,Feb-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 101,178,9.70%,€ 0.57,"1,841",178,9.70%,"1,841",0,0,0,0.00%,€ 0.57,€ 54.94,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Feb-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 10,11,0.70%,€ 0.92,"1,675",11,0.70%,"1,594","1,734",37,64,3.80%,€ 0.92,€ 6.07,2.10%,€ 0.01,€ 0.16
 Paid Search , google , BIODERMA ,Feb-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 104,184,9.10%,€ 0.57,"2,015",184,9.10%,"2,015",0,0,0,0.00%,€ 0.57,€ 51.59,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Feb-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 11,29,1.40%,€ 0.39,"2,128",29,1.40%,"1,912","2,206",38,89,4.20%,€ 0.39,€ 5.35,1.70%,€ 0.01,€ 0.13
 Paid Search , google , BIODERMA ,Feb-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 133,205,9.20%,€ 0.65,"2,224",205,9.20%,"2,224",0,0,0,0.00%,€ 0.65,€ 59.81,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Feb-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 9,19,1.10%,€ 0.49,"1,783",19,1.10%,"1,613","1,822",19,52,2.90%,€ 0.49,€ 5.27,1.00%,€ 0.01,€ 0.18
 Paid Search , google , BIODERMA ,Feb-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 51,116,7.50%,€ 0.44,"1,539",116,7.50%,"1,539",0,0,0,0.00%,€ 0.44,€ 32.91,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jan-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 10,16,0.90%,€ 0.60,"1,790",16,0.90%,"1,617","1,828",27,59,3.30%,€ 0.60,€ 5.38,1.50%,€ 0.01,€ 0.16
 Paid Search , google , BIODERMA ,Jan-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 62,153,9.60%,€ 0.41,"1,598",153,9.60%,"1,598",0,0,0,0.00%,€ 0.41,€ 39.06,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jan-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 10,15,0.90%,€ 0.64,"1,742",15,0.90%,"1,620","1,791",23,46,2.60%,€ 0.64,€ 5.55,1.30%,€ 0.01,€ 0.21
 Paid Search , google , BIODERMA ,Jan-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 74,149,8.70%,€ 0.50,"1,705",149,8.70%,"1,705",0,0,0,0.00%,€ 0.50,€ 43.69,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jan-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 9,20,1.10%,€ 0.47,"1,876",20,1.10%,"1,713","1,888",0,21,1.10%,€ 0.47,€ 5.04,0.00%,€ 0.01,€ 0.45
 Paid Search , google , BIODERMA ,Jan-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 85,183,8.20%,€ 0.46,"2,219",183,8.20%,"2,219",0,0,0,0.00%,€ 0.46,€ 38.21,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jan-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 10,18,0.90%,€ 0.54,"2,059",18,0.90%,"1,892","2,075",5,27,1.30%,€ 0.54,€ 4.71,0.20%,€ 0.00,€ 0.36
 Paid Search , google , BIODERMA ,Jan-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 59,149,10.70%,€ 0.40,"1,393",149,10.70%,"1,393",0,0,0,0.00%,€ 0.40,€ 42.54,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jan-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 10,26,1.20%,€ 0.40,"2,132",26,1.20%,"2,042","2,160",11,46,2.20%,€ 0.40,€ 4.87,0.50%,€ 0.00,€ 0.23
 Paid Search , google , BIODERMA ,Jan-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 87,203,10.70%,€ 0.43,"1,900",203,10.70%,"1,900",0,0,0,0.00%,€ 0.43,€ 45.63,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jan-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 12,35,1.30%,€ 0.33,"2,730",35,1.30%,"2,585","2,754",13,58,2.10%,€ 0.33,€ 4.29,0.50%,€ 0.00,€ 0.20
 Paid Search , google , BIODERMA ,Jan-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 81,177,11.10%,€ 0.45,"1,590",177,11.10%,"1,590",0,0,0,0.00%,€ 0.45,€ 50.63,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jan-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 10,19,1.00%,€ 0.50,"1,881",19,1.00%,"1,775","1,897",7,38,2.00%,€ 0.50,€ 5.06,0.40%,€ 0.01,€ 0.25
 Paid Search , google , BIODERMA ,Jan-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 81,167,9.60%,€ 0.49,"1,746",167,9.60%,"1,746",0,0,0,0.00%,€ 0.49,€ 46.47,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jan-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 10,17,0.90%,€ 0.57,"1,799",17,0.90%,"1,758","1,831",17,43,2.40%,€ 0.57,€ 5.36,0.90%,€ 0.01,€ 0.22
 Paid Search , google , BIODERMA ,Jan-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 100,204,9.80%,€ 0.49,"2,088",204,9.80%,"2,088",0,0,0,0.00%,€ 0.49,€ 48.03,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jan-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 9,15,0.90%,€ 0.63,"1,670",15,0.90%,"1,576","1,696",19,42,2.50%,€ 0.63,€ 5.66,1.10%,€ 0.01,€ 0.23
 Paid Search , google , BIODERMA ,Jan-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 122,200,9.30%,€ 0.61,"2,162",200,9.30%,"2,162",0,0,0,0.00%,€ 0.61,€ 56.45,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jan-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 10,23,1.30%,€ 0.41,"1,765",23,1.30%,"1,681","1,800",20,60,3.40%,€ 0.41,€ 5.41,1.10%,€ 0.01,€ 0.16
 Paid Search , google , BIODERMA ,Jan-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 85,166,8.10%,€ 0.51,"2,044",166,8.10%,"2,044",0,0,0,0.00%,€ 0.51,€ 41.43,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jan-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 10,21,1.10%,€ 0.50,"1,932",21,1.10%,"1,781","1,958",23,54,2.80%,€ 0.50,€ 5.39,1.20%,€ 0.01,€ 0.19
 Paid Search , google , BIODERMA ,Jan-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 52,133,9.10%,€ 0.39,"1,455",133,9.10%,"1,455",0,0,0,0.00%,€ 0.39,€ 35.80,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jan-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 10,18,0.80%,€ 0.55,"2,140",18,0.80%,"2,030","2,173",24,52,2.40%,€ 0.55,€ 4.64,1.10%,€ 0.00,€ 0.19
 Paid Search , google , BIODERMA ,Jan-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 66,158,9.50%,€ 0.42,"1,662",158,9.50%,"1,662",0,0,0,0.00%,€ 0.42,€ 39.75,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jan-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 11,22,0.90%,€ 0.52,"2,386",22,0.90%,"2,095","2,409",29,75,3.10%,€ 0.52,€ 4.80,1.20%,€ 0.00,€ 0.15
 Paid Search , google , BIODERMA ,Jan-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 74,152,8.70%,€ 0.49,"1,743",152,8.70%,"1,743",0,0,0,0.00%,€ 0.49,€ 42.35,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jan-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 10,25,1.30%,€ 0.38,"1,862",25,1.30%,"1,754","1,904",39,90,4.80%,€ 0.38,€ 5.14,2.00%,€ 0.01,€ 0.11
 Paid Search , google , BIODERMA ,Jan-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 75,160,11.30%,€ 0.47,"1,413",160,11.30%,"1,413",0,0,0,0.00%,€ 0.47,€ 52.75,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jan-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 9,25,1.20%,€ 0.37,"2,091",25,1.20%,"1,921","2,128",27,83,4.00%,€ 0.37,€ 4.43,1.30%,€ 0.00,€ 0.11
 Paid Search , google , BIODERMA ,Jan-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 75,148,9.80%,€ 0.51,"1,510",148,9.80%,"1,510",0,0,0,0.00%,€ 0.51,€ 49.73,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jan-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 9,26,1.30%,€ 0.36,"2,068",26,1.30%,"1,992","2,112",21,66,3.20%,€ 0.36,€ 4.48,1.00%,€ 0.00,€ 0.14
 Paid Search , google , BIODERMA ,Jan-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 101,199,11.50%,€ 0.51,"1,727",199,11.50%,"1,727",0,0,0,0.00%,€ 0.51,€ 58.29,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jan-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 10,29,1.40%,€ 0.34,"2,087",29,1.40%,"1,926","2,159",38,104,5.00%,€ 0.34,€ 4.73,1.80%,€ 0.00,€ 0.09
 Paid Search , google , BIODERMA ,Jan-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 89,173,11.40%,€ 0.52,"1,514",173,11.40%,"1,514",0,0,0,0.00%,€ 0.52,€ 59.03,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jan-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 11,24,1.10%,€ 0.44,"2,113",24,1.10%,"1,971","2,184",43,97,4.60%,€ 0.44,€ 5.02,2.00%,€ 0.00,€ 0.11
 Paid Search , google , BIODERMA ,Jan-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 77,141,9.70%,€ 0.55,"1,456",141,9.70%,"1,456",0,0,0,0.00%,€ 0.55,€ 52.88,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jan-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 10,22,1.00%,€ 0.47,"2,262",22,1.00%,"2,055","2,319",32,68,3.00%,€ 0.47,€ 4.60,1.40%,€ 0.00,€ 0.15
 Paid Search , google , BIODERMA ,Jan-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 84,140,10.80%,€ 0.60,"1,296",140,10.80%,"1,296",0,0,0,0.00%,€ 0.60,€ 64.64,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jan-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 11,27,1.10%,€ 0.41,"2,490",27,1.10%,"2,424","2,540",28,88,3.50%,€ 0.41,€ 4.41,1.10%,€ 0.00,€ 0.12
 Paid Search , google , BIODERMA ,Jan-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 148,187,10.60%,€ 0.79,"1,770",187,10.60%,"1,770",0,0,0,0.00%,€ 0.79,€ 83.33,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jan-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 10,21,1.00%,€ 0.46,"2,083",21,1.00%,"1,994","2,149",26,59,2.80%,€ 0.46,€ 4.62,1.20%,€ 0.00,€ 0.16
 Paid Search , google , BIODERMA ,Jan-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 102,167,9.70%,€ 0.61,"1,726",167,9.70%,"1,726",0,0,0,0.00%,€ 0.61,€ 59.37,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jan-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 9,22,1.00%,€ 0.42,"2,177",22,1.00%,"2,011","2,205",20,63,2.90%,€ 0.42,€ 4.22,0.90%,€ 0.00,€ 0.15
 Paid Search , google , BIODERMA ,Jan-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 68,150,10.40%,€ 0.45,"1,443",150,10.40%,"1,443",0,0,0,0.00%,€ 0.45,€ 47.08,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jan-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 10,27,1.30%,€ 0.36,"2,063",27,1.30%,"1,913","2,116",29,75,3.60%,€ 0.36,€ 4.66,1.40%,€ 0.00,€ 0.13
 Paid Search , google , BIODERMA ,Jan-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 64,142,9.30%,€ 0.45,"1,529",142,9.30%,"1,529",0,0,0,0.00%,€ 0.45,€ 41.63,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jan-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 10,29,1.30%,€ 0.33,"2,225",29,1.30%,"2,034","2,269",30,92,4.10%,€ 0.33,€ 4.30,1.30%,€ 0.00,€ 0.10
 Paid Search , google , BIODERMA ,Jan-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 99,175,9.90%,€ 0.56,"1,762",175,9.90%,"1,762",0,0,0,0.00%,€ 0.56,€ 56.00,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jan-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 10,21,0.80%,€ 0.50,"2,488",21,0.80%,"2,312","2,505",28,76,3.10%,€ 0.50,€ 4.19,1.10%,€ 0.00,€ 0.14
 Paid Search , google , BIODERMA ,Jan-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 59,138,9.40%,€ 0.43,"1,475",138,9.40%,"1,475",0,0,0,0.00%,€ 0.43,€ 40.09,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jan-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 10,31,1.10%,€ 0.33,"2,737",31,1.10%,"2,557","2,818",34,103,3.80%,€ 0.33,€ 3.77,1.20%,€ 0.00,€ 0.10
 Paid Search , google , BIODERMA ,Jan-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 73,164,10.60%,€ 0.45,"1,540",164,10.60%,"1,540",0,0,0,0.00%,€ 0.45,€ 47.45,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jan-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 11,36,1.20%,€ 0.31,"3,046",36,1.20%,"2,757","3,107",36,109,3.60%,€ 0.31,€ 3.70,1.20%,€ 0.00,€ 0.10
 Paid Search , google , BIODERMA ,Jan-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 88,172,9.40%,€ 0.51,"1,824",172,9.40%,"1,824",0,0,0,0.00%,€ 0.51,€ 48.33,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jan-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 9,23,1.00%,€ 0.40,"2,319",23,1.00%,"2,160","2,359",27,76,3.30%,€ 0.40,€ 3.99,1.10%,€ 0.00,€ 0.12
 Paid Search , google , BIODERMA ,Jan-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 95,174,10.30%,€ 0.54,"1,690",174,10.30%,"1,690",0,0,0,0.00%,€ 0.54,€ 55.98,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jan-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 9,23,1.00%,€ 0.41,"2,339",23,1.00%,"2,139","2,378",26,72,3.10%,€ 0.41,€ 4.00,1.10%,€ 0.00,€ 0.13
 Paid Search , google , BIODERMA ,Jan-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 100,206,12.00%,€ 0.49,"1,723",206,12.00%,"1,723",0,0,0,0.00%,€ 0.49,€ 58.13,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jan-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 10,22,0.80%,€ 0.45,"2,665",22,0.80%,"2,475","2,703",36,91,3.40%,€ 0.45,€ 3.68,1.30%,€ 0.00,€ 0.11
 Paid Search , google , BIODERMA ,Jan-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 109,197,9.30%,€ 0.55,"2,123",197,9.30%,"2,123",0,0,0,0.00%,€ 0.55,€ 51.36,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Jan-25,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 10,25,1.00%,€ 0.40,"2,600",25,1.00%,"2,275","2,698",45,118,4.50%,€ 0.40,€ 3.85,1.70%,€ 0.00,€ 0.08
 Paid Search , google , BIODERMA ,Jan-25,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 51,109,9.30%,€ 0.47,"1,169",109,9.30%,"1,169",0,0,0,0.00%,€ 0.47,€ 43.78,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Dec-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 10,20,1.00%,€ 0.48,"2,039",20,1.00%,"1,774","2,121",51,123,6.00%,€ 0.48,€ 4.74,2.40%,€ 0.00,€ 0.08
 Paid Search , google , BIODERMA ,Dec-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 23,64,8.40%,€ 0.37,763,64,8.40%,763,0,0,0,0.00%,€ 0.37,€ 30.77,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Dec-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 11,14,0.80%,€ 0.75,"1,857",14,0.80%,"1,776","1,949",62,137,7.40%,€ 0.75,€ 5.67,3.20%,€ 0.01,€ 0.08
 Paid Search , google , BIODERMA ,Dec-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 68,147,10.50%,€ 0.46,"1,406",147,10.50%,"1,406",0,0,0,0.00%,€ 0.46,€ 48.05,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Dec-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 11,26,1.30%,€ 0.44,"2,011",26,1.30%,"1,810","2,105",76,167,8.30%,€ 0.44,€ 5.65,3.60%,€ 0.01,€ 0.07
 Paid Search , google , BIODERMA ,Dec-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 79,148,11.20%,€ 0.53,"1,326",148,11.20%,"1,326",0,0,0,0.00%,€ 0.53,€ 59.53,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Dec-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 9,15,1.00%,€ 0.61,"1,491",15,1.00%,"1,378","1,567",57,116,7.80%,€ 0.61,€ 6.11,3.60%,€ 0.01,€ 0.08
 Paid Search , google , BIODERMA ,Dec-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 82,147,11.40%,€ 0.56,"1,286",147,11.40%,"1,286",0,0,0,0.00%,€ 0.56,€ 63.96,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Dec-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 9,16,0.90%,€ 0.59,"1,698",16,0.90%,"1,535","1,856",88,166,9.80%,€ 0.59,€ 5.58,4.70%,€ 0.01,€ 0.06
 Paid Search , google , BIODERMA ,Dec-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 89,141,11.50%,€ 0.63,"1,230",141,11.50%,"1,230",0,0,0,0.00%,€ 0.63,€ 72.63,0.00%, € -   , € -   
 Paid Social , meta , BIODERMA ,Dec-24,Conversion,BIO-2024-H2O-Mizellenwasser,Clicks,€ 9,23,1.50%,€ 0.41,"1,527",23,1.50%,"1,407","1,690",107,217,14.20%,€ 0.41,€ 6.16,6.30%,€ 0.01,€ 0.04
 Paid Search , google , BIODERMA ,Dec-24,Conversion,de_bio_gads_src_always-on_branding-campaign_traffic,Clicks,€ 98,137,10.70%,€ 0.72,"1,280",137,10.70%,"1,280",0,0,0,0.00%,€ 0.72,€ 76.68,0.00%, € -   , € -   
